what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1471068858462
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1471068858464
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1471068858464
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1471068858465
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1471068858466
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1471068858467
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1471068858467
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1471068858468
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1471068858469
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1471068858469
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1471068858470
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1471068858471
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1471068858472
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1471068858473
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1471068858474
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1471068858475
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1471068858476
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1471068858476
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1471068858476
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1471068858476
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1471068858477
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1471068858477
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1471068858477
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1471068858477
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1471068858478
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1471068858479
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1471068858480
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1471068858481
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1471068858484
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1471068858485
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1471068858485
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1471068858486
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1471068858487
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1471068858488
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1471068858488
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1471068858489
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1471068858490
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1471068858491
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1471068858491
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1471068858492
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1471068858493
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1471068858493
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1471068858494
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1471068858495
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1471068858496
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1471068858497
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1471068858498
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1471068858500
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1471068858501
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1471068858502
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1471068858502
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1471068858503
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1471068858505
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1471068858505
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1471068858505
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1471068858506
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1471068858506
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1471068858507
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1471068858508
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1471068858509
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1471068858509
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1471068858510
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1471068858510
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1471068858511
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1471068858512
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1471068858512
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1471068858512
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1471068858513
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1471068858513
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1471068858514
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1471068858514
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1471068858515
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1471068858515
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1471068858516
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1471068858516
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1471068858517
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1471068858518
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1471068858518
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1471068858518
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1471068858519
started,bundle,com.collabnet.subversion.merge,4.0.2,"com.collabnet.subversion.merge",1471068858519
started,bundle,org.tigris.subversion.clientadapter,1.10.1,"org.tigris.subversion.clientadapter",1471068858519
started,bundle,org.tigris.subversion.subclipse.core,1.10.4,"org.tigris.subversion.subclipse.core",1471068858519
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1471068858519
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1471068858519
started,bundle,org.tigris.subversion.subclipse.ui,1.10.4,"org.tigris.subversion.subclipse.ui",1471068858520
started,bundle,org.eclipse.mylyn.bugzilla.core,3.10.0.20131024-1218,"org.eclipse.mylyn.bugzilla.core",1471068858520
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.10.0.20131008-0155,"org.eclipse.mylyn.bugzilla.ui",1471068858521
started,bundle,org.eclipse.mylyn.commons.core,3.10.0.20130926-1710,"org.eclipse.mylyn.commons.core",1471068858521
started,bundle,org.eclipse.mylyn.commons.net,3.10.0.20131018-1210,"org.eclipse.mylyn.commons.net",1471068858521
started,bundle,org.eclipse.mylyn.commons.notifications.core,1.2.0.20131015-0343,"org.eclipse.mylyn.commons.notifications.core",1471068858522
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.2.0.20131017-1131,"org.eclipse.mylyn.commons.notifications.feed",1471068858522
started,bundle,org.eclipse.mylyn.commons.ui,3.10.0.20130926-1710,"org.eclipse.mylyn.commons.ui",1471068858523
started,bundle,org.eclipse.mylyn.commons.workbench,3.10.0.20131007-0130,"org.eclipse.mylyn.commons.workbench",1471068858523
started,bundle,org.eclipse.mylyn.context.core,3.10.0.20131004-1625,"org.eclipse.mylyn.context.core",1471068858523
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.10.0.20130705-1027,"org.eclipse.mylyn.context.tasks.ui",1471068858524
started,bundle,org.eclipse.mylyn.monitor.ui,3.10.0.20131006-0231,"org.eclipse.mylyn.monitor.ui",1471068858525
started,bundle,org.eclipse.mylyn.tasks.ui,3.10.0.20131009-1926,"org.eclipse.mylyn.tasks.ui",1471068858525
started,bundle,org.eclipse.mylyn.team.ui,3.10.0.20130816-2152,"org.eclipse.mylyn.team.ui",1471068858526
started,bundle,org.review_board.ereviewboard.core,0.13.2.201303212018,"org.review_board.ereviewboard.core",1471068858526
started,bundle,org.review_board.ereviewboard.ui,0.13.2.201303212018,"org.review_board.ereviewboard.ui",1471068858527
os,sysinfo,,,"win32",1471068858530
arch,sysinfo,,,"x86",1471068858530
ws,sysinfo,,,"win32",1471068858530
locale,sysinfo,,,"en_US",1471068858530
processors,sysinfo,,,"2",1471068858530
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1471068858530
java.runtime.version,sysinfo,,,"1.7.0_51-b13",1471068858530
java.specification.name,sysinfo,,,"Java Platform API Specification",1471068858530
java.specification.vendor,sysinfo,,,"Oracle Corporation",1471068858530
java.specification.version,sysinfo,,,"1.7",1471068858530
java.vendor,sysinfo,,,"Oracle Corporation",1471068858530
java.version,sysinfo,,,"1.7.0_51",1471068858530
java.vm.info,sysinfo,,,"mixed mode",1471068858530
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1471068858530
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1471068858530
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1471068858530
java.vm.specification.version,sysinfo,,,"1.7",1471068858530
java.vm.vendor,sysinfo,,,"Oracle Corporation",1471068858530
java.vm.version,sysinfo,,,"24.51-b03",1471068858530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471068859131
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471068860529
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1471068860536
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1471068860587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471068864171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471068885306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471068888655
